reservationId,roomId,userId,title,startTime,endTime,accountType,hourlyRate,depositAmount,finalAmount,paymentMethod,checkedIn,canceled,extended,depositLost
RES1784439257310,R202,ACC9,Booking from GUI,2026-07-19 02:34,2026-07-19 03:34,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
RES1784439292722,R101,ACC9,Booking from GUI,2026-07-19 02:34,2026-07-19 03:34,student,20.0,20.0,0.0,CREDIT_CARD,true,false,false,false
RES1784439481303,R1008,ACC9,Booking from GUI,2026-07-19 02:38,2026-07-19 03:38,student,20.0,20.0,0.0,CREDIT_CARD,true,false,false,false
RES1784439519018,R1005,ACC9,Booking from GUI,2026-07-19 02:38,2026-07-19 03:38,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
RES1784440218280,R1004,ACC9,Booking from GUI,2026-07-19 02:50,2026-07-19 03:50,student,20.0,20.0,0.0,CREDIT_CARD,true,false,false,false
RES1784440545111,R1005,ACC9,Booking from GUI,2026-07-19 02:55,2026-07-19 03:55,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
TESTRES5,TESTROOM5,TESTUSER5,Meeting,2026-08-01 14:11,2026-08-01 15:11,faculty,30.0,30.0,30.0,DEBIT_CARD,false,false,false,false
TESTRES4,TESTROOM4,TESTUSER4,Meeting,2026-08-01 14:11,2026-08-01 15:11,student,99.0,99.0,99.0,CREDIT_CARD,false,false,false,false
TESTRES3,TESTROOM3,TESTUSER3,Meeting,2026-08-01 14:11,2026-08-01 15:11,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
TESTRES1,TESTROOM1,TESTUSER1,Meeting,2026-08-01 14:11,2026-08-01 15:11,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
TESTRES6,TESTROOM6,TESTUSER6,Meeting,2026-08-01 14:11,2026-08-01 15:11,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
TESTRES7,TESTROOM7,TESTUSER7,Meeting,2026-08-01 14:11,2026-08-01 16:11,student,20.0,20.0,40.0,CREDIT_CARD,false,false,false,false
TESTRES8,TESTROOM8,TESTUSER8,Meeting,2026-08-01 14:11,2026-08-01 14:41,student,20.0,20.0,20.0,CREDIT_CARD,false,false,false,false
