roomId,email,accountId,verified
R1007,student@yorku.ca,ACC1,true
R1009,student@yorku.ca,ACC1,true
R1009,student@yorku.ca,ACC1,true
R101,reze@gmail.com,ACC9,true
R1008,reze@gmail.com,ACC9,true
R1004,reze@gmail.com,ACC9,true
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Pending,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,hi!,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,,false
,Pending,Cancelled,false
,Pending,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Checked in.,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Cancelled,false
,Checked in.,,false
,,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Checked in.,,,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Checked in.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,,,false
,Checked in.,,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
,Pending,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Pending,Cancelled,false
Pending,Cancelled,Booking confirmed.,false
,admin,hi!,false
,,,false
Checked in.,,,false
Pending,,,false
,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Checked in.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Checked in.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Checked in.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Checked in.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Checked in.,,,false
,Cancelled,Booking confirmed.,false
,,,false
Checked in.,,,false
Pending,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
,Cancelled,,false
,Cancelled,,false
Pending,Cancelled,Booking confirmed.,false
,,,false
Pending,Cancelled,Booking confirmed.,false
,student,,false
,,,false
Pending,Cancelled,Booking confirmed.,false
Pending,Cancelled,Booking confirmed.,false
